model,threshold,cv_roc_auc,test_roc_auc,test_accuracy,test_f1,best_params
ExtraTrees,424.1662130966011,0.8198233741500373,0.8476458709745989,0.7628865979381443,0.7526881720430108,"{""model__max_depth"": 12, ""model__n_estimators"": 140}"
RandomForest,424.1662130966011,0.8134262148323804,0.8418004038686364,0.7422680412371134,0.7340425531914894,"{""model__max_depth"": 12, ""model__n_estimators"": 120}"
GradientBoosting,424.1662130966011,0.8200039599444683,0.8164523328727813,0.7216494845360825,0.7272727272727273,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
LogisticRegression,424.1662130966011,0.7539470014591702,0.7220214688064619,0.6701030927835051,0.68,"{""model__C"": 0.1}"
SVC,424.1662130966011,0.5702678278394883,0.5983101286002763,0.5,0.6666666666666666,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
