target,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_share
"IC50, mM",12.51539592355676,231.3730891061837,218.85769318262695,-315.7711438503837,559.6596288801242,138,0.14241486068111456
"CC50, mM",99.9993451254412,891.7769249748073,791.7775798493661,-1087.667024648608,2079.4432947488567,35,0.03611971104231166
SI,1.488095238095238,16.375,14.886904761904763,-20.84226190476191,38.705357142857146,120,0.1238390092879257
