model,threshold,cv_roc_auc,test_roc_auc,test_accuracy,test_f1,best_params
GradientBoosting,3.899999999999999,0.7082005519268905,0.7047507705388458,0.6701030927835051,0.627906976744186,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
LogisticRegression,3.899999999999999,0.6536573245875572,0.6924752896163248,0.6494845360824743,0.6091954022988506,"{""model__C"": 1.0}"
RandomForest,3.899999999999999,0.7086866851874963,0.6855670103092784,0.654639175257732,0.6338797814207651,"{""model__max_depth"": 12, ""model__n_estimators"": 120}"
ExtraTrees,3.899999999999999,0.720758352478201,0.6822722924859178,0.6443298969072165,0.6187845303867403,"{""model__max_depth"": 12, ""model__n_estimators"": 140}"
SVC,3.899999999999999,0.5667713663657418,0.5989478159209267,0.5,0.6666666666666666,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
