model,threshold,cv_roc_auc,test_roc_auc,test_accuracy,test_f1,best_params
GradientBoosting,45.33835485746233,0.7716489547749688,0.8173557232437029,0.7319587628865979,0.7373737373737373,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 100}"
ExtraTrees,45.33835485746233,0.775448190212928,0.804070570730152,0.711340206185567,0.7142857142857143,"{""model__max_depth"": 12, ""model__n_estimators"": 140}"
RandomForest,45.33835485746233,0.7714665199792295,0.8017855244978213,0.7319587628865979,0.7291666666666666,"{""model__max_depth"": null, ""model__n_estimators"": 120}"
LogisticRegression,45.33835485746233,0.7097938517624834,0.7443936656392816,0.6804123711340206,0.6770833333333334,"{""model__C"": 0.1}"
SVC,45.33835485746233,0.5964388234804677,0.5170049952173452,0.5,0.0,"{""model__C"": 5.0, ""model__gamma"": ""scale""}"
